id,@id,addr:city,addr:housenumber,addr:postcode,addr:street,alt_name,amenity,bench,bin,brand,brand:wikidata,bus,bus_stop,check_date:bin,check_date:lit,check_date:shelter,check_date:tactile_paving,covered,departures_board,description,former_name,highway,kerb,kerb:approach_aid,layer,level,lit,local_ref,material,name,name:en,name:es,network,network:short,network:wikidata,network:wikipedia,not:network:wikidata,note,opening_hours:covid19,operator,operator:short,operator:wikidata,operator:wikipedia,passenger_information_display,phone,public_transport,public_transport:version,ref,ref:signed,route,route_ref,seats,shade,shelter,source,source_ref,stop_id,surface,tactile_paving,towards,type,website,wheelchair,wheelchair:description,wikidata,wikipedia
node/8172166702,node/8172166702,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,La Cienega & Beverly,,,"Metro Local;DASH",,,,,,,"Metro;LADOT",,,,,,platform,,,,,,,,yes,,,,,,,,,,,,
node/8172166703,node/8172166703,,,,,,,yes,yes,,,yes,,,,,,,,,,bus_stop,,,,,,,,La Cienega & Beverly,,,DASH,,Q112028960,,,,,Los Angeles Department of Transportation,,Q3259703,,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8172166705,node/8172166705,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,La Cienega & Rosewood,,,"Metro Local;DASH",,,,,,,"Metro;LADOT",,,,,,platform,,,,,,,,yes,,,,,,,,,,,,
node/8172166706,node/8172166706,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,La Cienega & Waring,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8172166707,node/8172166707,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,La Cienega & Waring,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8178183795,node/8178183795,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Fairfax & 18th,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8178183796,node/8178183796,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Fairfax & 18th,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8178183797,node/8178183797,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Fairfax & Airdrome,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8178183798,node/8178183798,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Fairfax & Airdrome,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8178183802,node/8178183802,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Fairfax & Saturn,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8178183803,node/8178183803,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Fairfax & Saturn,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8178183804,node/8178183804,,,,,,,yes,yes,,,yes,,,,,,,,,,bus_stop,,,,,,,,Fairfax & Pico,,,"Metro Local;Metro Rapid",,,,,,,Metro,,,,,,platform,,,,,,,,yes,,,,,,,,,,,,
node/8178183805,node/8178183805,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Fairfax & Pico,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8178188217,node/8178188217,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Fairfax & Packard,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8178188218,node/8178188218,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Fairfax & Packard,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8178188219,node/8178188219,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Fairfax & Whitworth,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8178188220,node/8178188220,,,,,,,no,no,,,yes,,,,,,,,,,bus_stop,,,,,,,,Fairfax & Whitworth,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,"217",,,,,,no,,,,,no,,,,,,,
node/8178188221,node/8178188221,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Fairfax & Olympic,,,"Metro Local;Metro Rapid",,,,,,,Metro,,,,,,platform,,,,,,,,yes,,,,,,,,,,,,
node/8178188222,node/8178188222,,,,,,,,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Fairfax & Olympic,,,Metro Rapid,,Q75436,en:Metro Rapid,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,,,,,,,,,,,,,
node/8178188223,node/8178188223,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Fairfax & San Vicente,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,yes,,,,,,,,,,,,
